Designator,Mid X,Mid Y,Rotation,Layer
C1,73.66,-56.896,180.0,top
C2,60.132,-61.468,180.0,top
C3,69.85,-49.784,180.0,top
C4,73.726,-54.864,180.0,top
C5,85.5,-134.625,0.0,top
C6,85.525,-132.425,0.0,top
C7,102.5,-133.75,0.0,top
D1,59.462736,-52.638865,90.0,top
D2,65.099736,-132.905965,180.0,top
D3,77.774336,-111.747765,180.0,top
J1,66.971236,-82.314565,90.0,top
J2,74.243736,-132.728165,90.0,top
J3,62.102536,-80.937565,0.0,top
J5,56.235136,-83.782365,270.0,top
J6,52.044136,-103.416565,90.0,top
J8,94.225,-132.395,0.0,top
K1,75.206036,-101.663965,180.0,top
Q1,70.789336,-112.077965,0.0,top
Q2,107.925,-126.875,0.0,top
Q3,103.075,-126.825,180.0,top
R1,59.486336,-47.917565,270.0,top
R10,64.008,-50.038,180.0,top
R11,64.008,-52.07,180.0,top
R12,60.198,-57.404,180.0,top
R13,60.198,-59.436,180.0,top
R14,102.6,-130.925,0.0,top
R15,112.825,-132.8,270.0,top
R2,63.732736,-42.986365,0.0,top
R3,72.897536,-42.761365,0.0,top
R4,119.100136,-50.720965,90.0,top
R5,65.023536,-130.467565,0.0,top
R6,65.328336,-112.357365,0.0,top
R7,60.705536,-112.255765,0.0,top
R8,85.55,-129.7,0.0,top
R9,85.725,-126.95,0.0,top
RV5K1,67.847736,-67.337765,180.0,top
SW1,53.237936,-49.924165,270.0,top
SW2,115.925136,-50.381365,90.0,top
U1,108.484436,-107.739565,180.0,top
U2,74.422,-51.816,180.0,top
U3,65.532,-58.42,0.0,top
U4,108.025,-133.475,0.0,top
